Start Date,WCASES
14/01/2019,3
21/01/2019,3
28/01/2019,12
04/02/2019,33
11/02/2019,15
18/02/2019,11
25/02/2019,11
04/03/2019,8
11/03/2019,4
18/03/2019,6
25/03/2019,4
01/04/2019,9
08/04/2019,5
15/04/2019,5
22/04/2019,1
29/04/2019,1
06/05/2019,2
13/05/2019,3
20/05/2019,5
27/05/2019,3
03/06/2019,2
10/06/2019,1
,2
